id,sentence,num_aspect_terms,aspect_terms,at_polarity
32935729#785247#5,Falafal शायद over cooked और dried था लेकिन chicken अच्छा था।,2,"['Falafal', 'chicken']","['negative', 'positive']"
32935211#1468239#3,"मैं grand marnier shrimp को बहुत ज्यादा reccomend करता हूँ, यह बहुत अच्छा है।",1,['grand marnier shrimp'],['positive']
32944704#492723#0,"हम वहाँ गए और food को वाकई enjoy किया, बहुत शानदार food था, और service वाकई में अच्छा था।",3,"['food', 'food', 'service']","['positive', 'positive', 'positive']"
33061325#0#3,Desserts में flan और sopaipillas शामिल है।,3,"['Desserts', 'flan', 'sopaipillas']","['neutral', 'neutral', 'neutral']"
35709141#1107179#1,"जबकि, food और service dramatically lack हो रहा था।",2,"['food', 'service']","['negative', 'negative']"
35709141#1107179#2,Sushi को blocks में काटा गया जो मेरे cell phone से बड़ा था। ,1,['Sushi'],['negative']
11350496#1560668#3,"Service शानदार है, मेरा soup हमेशा अच्छा और hot आता है। ",2,"['Service', 'soup']","['positive', 'positive']"
11351625#909535#1,यह जबकि अब तक रही है और मैं भूल गया कि crepes कितना delicious हो सकता है।,1,['crepes'],['positive']
11351620#1180095#0,मैंने एक स्वादिष्ट shrimp creole खाया था।,1,['shrimp creole'],['positive']
11351620#1180095#1,Chicken dinner सच में अच्छा था।,1,['Chicken dinner'],['positive']
32938222#1552119#1,Restaurant का decor contemporary Japanese style में सजा हुआ है।,1,['decor'],['neutral']
11351620#1180095#3,लेकिन food स्वादिष्ट था।,1,['food'],['positive']
32464595#574909#2,"Ribs को, sizzling beef और बहुत से coconut rice के साथ couple करके आज़माएँ।",3,"['coconut rice', 'Ribs', 'beef']","['positive', 'positive', 'positive']"
32893510#483382#3,यह केवल ऐसा drawback है जो थोड़ा pricey है।,0,[],[]
32893510#483382#0,इस place के बारे में सबकुछ wonderful है।,0,[],[]
32893040#1716582#5,Avocado salad एक personal fave है।,1,['Avocado salad'],['positive']
32893040#1716582#6,"और, honey BBQ rib tips स्वादिष्ट हैं।",1,['honey BBQ rib tips'],['positive']
32893040#1716582#0,सबसे अच्छा Chinese food Uptown है।,1,['Chinese food'],['positive']
32464601#418474#1,"Atmosphere attractive, लेकिन little uncomfortable है।",1,['Atmosphere'],['conflict']
32464601#418474#2,यह staff बहुत friendly है।,1,['staff'],['positive']
33068517#482841#2,कमाल का wine list और शानदार cocktail menu है।,2,"['wine list', 'cocktail menu']","['positive', 'positive']"
33068517#482841#1,Crab cakes स्वादिष्ट है और BBQ rib बिलकुल सही था।,2,"['Crab cakes', 'BBQ rib']","['positive', 'positive']"
32864873#471207#1,बहुत fast service के साथ छोटा restaurant है।,1,['service'],['positive']
33069536#707145#3,मेरे husband और मैं करीब 6 times यहाँ आ चुके हैं और हमें हमेशा यहाँ highest service और free desserts मिला है।,2,"['service', 'desserts']","['positive', 'positive']"
32899414#512291#0,"एक सुंदर atmosphere, drinks और/या appetizers के लिए बहुत सही है।",3,"['atmosphere', 'drinks', 'appetizers']","['positive', 'neutral', 'neutral']"
32469157#1273114#0,यहाँ Curioni's Pizza लगभग 1920 से चला आ रहा है।,0,[],[]
32469157#1273114#1,वे New Jersey में best pizza बनाते हैं।,1,['pizza'],['positive']
36072604#1106889#1,मैं हाल के पिछले summer के बाद एक year के लिए गया था।,0,[],[]
12036269#580745#2,ऊपर के पूरे restaurant में केवल एक waiter है।,1,['waiter'],['neutral']
33064238#563983#2,मैं garlic knots को भी recommend करता हूँ।,1,['garlic knots'],['positive']
32971013#1044651#0,अब तक का best Indian food जो मैंने खाया है।,1,['Indian food'],['positive']
11351521#768768#3,आप dissapointed नहीं होंगे।,0,[],[]
33064238#563983#0,इस place का pizza सबसे अच्छा है।,1,['pizza'],['positive']
35816071#637243#0,Culinaria Garment district का welcome addition है- area में किसी भी restaurant से बहुत अच्छा है।,0,[],[]
32896473#439063#3,Music जो sometime मेरे taste के लिए भी थोड़ा heavy है।,1,['Music'],['negative']
11350010#590580#1,Service शानदार है और बिना air के informative भी है।,1,['Service'],['positive']
11359762#927332#1,Owner और staff एक बड़े lengths के लिए आपको comfortable feel कराने जाते हैं।,2,"['Owner', 'staff']","['positive', 'positive']"
32950061#1264345#1,Sushi हमेशा fresh और yummy और menu बहुत vary करता है।,2,"['Sushi', 'menu']","['positive', 'positive']"
11359767#969393#2,"Food शानदार था - sushi अच्छा था, लेकिन cooked food ने हमें आश्चर्यचकित किया।",3,"['Food', 'sushi', 'cooked food']","['positive', 'positive', 'positive']"
33106326#864352#0,उनके dinner specials शानदार होते हैं।,1,['dinner specials'],['positive']
32405935#675215#0,"शानदार food, शानदार drinks, अच्छा dining atmosphere.",3,"['food', 'drinks', 'dining atmosphere']","['positive', 'positive', 'positive']"
32894669#1075584#1,Food portion छोटा था और average से नीचे था।,1,['Food portion'],['negative']
33085669#409731#11,पीछे उन comfortable chairs में से एक में बैठिए।,1,['chairs'],['positive']
33070461#1496736#6,मेरा यहाँ का favs Tacos Pastor और  Tostada de Tinga है।,2,"['Tacos Pastor', 'Tostada de Tinga']","['positive', 'positive']"
35693136#561234#0,"इस bar में बस यही है - great drinks, cool atmosphere, शानदार service और delicious food.",4,"['drinks', 'atmosphere', 'service', 'food']","['positive', 'positive', 'positive', 'positive']"
32893510#483382#1,हमने lamb order किया जो पूरी तरह cooked और awesome tasted था।,1,['lamb'],['positive']
11351664#1238806#6,अच्छा food अच्छा wine बस इतना ही। ,2,"['food', 'wine']","['positive', 'positive']"
33070305#1312437#4,Staff बहुत ही friendly और खुशनुमा था।,1,['Staff'],['positive']
11349840#433070#0,"यह place Italian है, French नहीं।",0,[],[]
11478791#397331#1,"जबकि उनका kitchen food delicious है, उनका Sushi इस संसार में अलग है।",2,"['kitchen food', 'Sushi']","['positive', 'positive']"
11351664#1238806#1,"यह traditional, साधारण italian food है।",1,['italian food'],['positive']
35693081#540596#2,Sashimi  थोड़ा पतला कटा है। ,1,['Sashimi'],['negative']
11651062#1264882#6,मैं personally कहता हूँ अपना money save कीजिये।,0,[],[]
"बल्कि, यह हुआ है क्योंकि एक graceless manager और एक rude bartender जो drinks के लिए 20 minutes waiting कराया, और फिर हमें chill out करने को कहा।","बल्कि, यह हुआ है क्योंकि एक graceless manager और एक rude bartender जो drinks के लिए 20 minutes wait कराया, और फिर हमें chill out करने को कहा।",4,"['manager', 'bartender', 'drinks', 'waiting']","['negative', 'negative', 'neutral', 'negative']"
32892130#435512#1,"केवल service ही great नहीं है, बल्कि tables के चारो ओर conversation बनाना बहुत easy है क्योंकि atmosphere दोनों तरफ romantic और comfortable हो सकता है।",2,"['service', 'atmosphere']","['positive', 'positive']"
11359797#469087#5,"जब dish आया यह green chillis के साथ जल रहा था, जो बिलकुल human के लिए edible नहीं था।",2,"['green chillis', 'dish']","['negative', 'negative']"
33061445#591371#1,यह lunch के लिए $7 है और उन्होने take-out या dine-in किया है।,3,"['lunch', 'take-out', 'dine-in']","['neutral', 'neutral', 'neutral']"
11359762#927332#2,कुल मिलाकर यह New York का BEST past है। ,0,[],[]
35698240#574381#0,हम यहाँ afternoon का performance देखते हुए पहले भी several times खा चुके हैं,0,[],[]
32934709#796678#1,सबकुछ बहुत cheap है।,0,[],[]
32894963#1707639#1,Food शानदार है और prices reasonable है।,2,"['Food', 'prices']","['positive', 'positive']"
32894963#1707639#3,"Place साफ है, और यदि आपको soul food पसंद है, तो यही वह place है।",2,"['Place', 'soul food']","['positive', 'positive']"
11350269#481079#1,यह city में मेरा Fav sports है।,0,[],[]
11351819#985076#4,"Over priced, overrated.... दूर रहो!",0,[],[]
11351819#985076#0,आप इस restaurant में मत जाओ।,0,[],[]
32894267#698671#2,"जब से हम neighborhood में थे, हमने इसे sure आज़माने का try किया था।",0,[],[]
11565268#560107#2,कुल मिलकर कह सकता हूँ कि वे fantastic हैं।,0,[],[]
33066089#490193#0,मैं dine में कई times Mammino खा चुका होऊंगा और हर बार यह better होता जायेगा।,0,[],[]
33066089#490193#4,Definitely कुछ check out करने को है।,0,[],[]
11639814#570590#2,Service शानदार था।,1,['Service'],['positive']
11432842#416795#0,मैं restaurant week के लिए गया।,0,[],[]
11350141#1745557#0,मेरा friend और मैं Kips Bay movie theater जाने से पहले यहाँ pizza के लिए रुके।,1,['pizza'],['neutral']
11350141#1745557#1,हम हमेशा pizza enjoy करते हैं।,1,['pizza'],['positive']
11350141#1745557#4,Service थोड़ा अच्छा है।,1,['Service'],['positive']
32944693#1193404#0,यह place कुछ years के लिए है।,0,[],[]
11432442#650772#0,"Yum, chicken यहाँ शानदार है।",1,['chicken'],['positive']
36244423#1058258#3,मैं इस restaurant को highly recommend करता हूँ!!,0,[],[]
11538980#453602#0,यह place बहुत worst था।,0,[],[]
32891589#573560#0,मैंने यहाँ से last week order किया था।,0,[],[]
32938222#1552119#0,यह Brooklyn में एक अच्छा sushi restaurant है जो 86 street पर train station के ठीक नीचे located है।,0,[],[]
32406302#615620#1,"यहाँ food बहुत शानदार था, एक treat beginning से end तक था।",1,['food'],['positive']
32938222#1552119#0,यह Brooklyn में एक अच्छा sushi restaurant है जो 86 street पर train station के ठीक नीचे located है।,0,[],[]
32406302#615620#1,"यहाँ food बहुत शानदार था, एक treat beginning से end तक था।",1,['food'],['positive']
11484031#1129679#1,Host (owner) और servers अपनो जैसा और ध्यान रखने वाला है।,2,"['Host (owner)', 'servers']","['positive', 'positive']"
32882616#562969#0,मैं बहुत से magazines में इसके बारे में सुनने के बाद try out करने का decide किया।,0,[],[]
11351561#744321#0,"यह सबकुछ बिलकुल है... food, atmosphere...कमाल की kind और gracious hostess है।",3,"['food', 'atmosphere', 'hostess']","['positive', 'positive', 'positive']"
33070461#1496736#7,Moved करके मैंने सच में place को बहुत miss किया।,0,[],[]
33068635#1533725#2,Food बहुत अच्छा और service शानदार है।,2,"['Food', 'service']","['positive', 'positive']"
33068635#1533725#2,Food बहुत अच्छा और service शानदार है।,2,"['Food', 'service']","['positive', 'positive']"
11313316#1234433#1,मैं हमेशा एक Vietnamese Beef Noodle Soup लेता हूँ।,1,['Vietnamese Beef Noodle Soup'],['neutral']
33069536#707145#1,Waiters बहुत ही friendly और helpful है और यदि आप frequent आते हैं वे आपको याद करेंगे।,1,['Waiters'],['positive']
35693081#540596#0,Intimate लेकिन बिलकुल friendly service के साथ attentive service और charming interior है।,2,"['interior', 'service']","['positive', 'positive']"
35393632#1591698#4,Food उतना ही creative था जितना कि decor और दोनों काम करता था।,2,"['Food', 'decor']","['positive', 'positive']"
11350539#680470#1,मेरा खुद का favorite Nick और Joe's है।,0,[],[]
11350539#680470#3,Sauce zesty और flavorful और crust अच्छा और crispy है।,2,"['Sauce', 'crust']","['positive', 'positive']"
33059931#926509#0,इस place में इस city का best sushi है।,1,['sushi'],['positive']
33059931#926509#1,उनका selection कमाल का है (rolls with crab वाकई शानदार है) ,2,"['selection', 'rolls with crab']","['positive', 'positive']"
11349871#518230#2,"हर कोई जो वहाँ काम करता है (host, bartender, servers) बहुत helpful है।",3,"['host', 'bartender', 'servers']","['positive', 'positive', 'positive']"
11349871#518230#3,और food fantastic है।,1,['food'],['positive']
11349871#518230#4,Favourites include: potato spinach gnocchi and the lamb.,2,"['potato spinach gnocchi', 'lamb']","['positive', 'positive']"
32935583#854234#2,Glechik के बारे में दूसरी अच्छी चीज- सबकुछ cheap है!,0,[],[]
35084984#412657#1,मेरे friend ने burger खाया है और मैंने ये शानदार blueberry pancakes pancakes खाया है।,2,"['burger', 'blueberry pancakes']","['neutral', 'positive']"
35084984#412657#2,हम अपने food से बहुत खुश थे और जबकि ज्यादा thrilled तब हुए जब हमने bill देखा।,2,"['food', 'bill']","['positive', 'positive']"
35084984#412657#3,मैं इस restaurant में definitely वापस जाऊंगा।,0,[],[]
15087705#871249#5,Place bilkul भी prime time के लिए ready नहीं हैं।,0,[],[]
35700989#574718#1,"Waitstaff solicitous और friendly और हमेशा हमें देखने में अच्छा लगता है, और food शानदार, लेकिन stunningly creative नहीं है।",2,"['Waitstaff', 'food']","['positive', 'positive']"
35700989#574718#2,मुझे lobster ravioli बहुत पसंद है।,1,['lobster ravioli'],['positive']
11661949#1709112#3,हमें नहीं पता कि हमें drink order करना चाहिए या जाना चाहिए।,1,['drink'],['neutral']
32894791#1611374#2,Neighbhorhood का spot शानदार है।,0,[],[]
34109476#402765#0,Bobb V's अपने Friends और Family को ले जाने के लिए एक शानदार place है।,0,[],[]
33059678#631861#2,"Crowd पुराना था और restaurant बहुत cramped है, लेकिन इसका charm old school जैसा है।",0,[],[]
32894966#1727613#1,यह इस place का असली gem है।,0,[],[]
32894966#1727613#9,मेरे हिसाब से यह wonderful place है।,0,[],[]
11558693#1436895#1,Place पर first walking करते हुए ambience शानदार लगता है।,2,"['Place', 'ambience']","['positive', 'positive']"
35700731#1595671#0,मैं इस weekend Kitchenette brunch के लिए गया।,1,['brunch'],['neutral']
32894963#1707639#0,"इस place का publicity नहीं किया जाता है जैसे कि Sylvias Soul Food restaurant करता है, लेकिन करना चाहिए।",0,[],[]
14336883#1094817#7,क्योंकि P Diddy ने Butter में party किया था इसका ये मतलब नहीं है कि हमें automatically impressed हो जाना चाहिए।,0,[],[]
35819603#1613701#3,"जबकि दो के लिए वहाँ बहुत hungry people थे, बहुत से food home ले जाने को बचे हुए थे (जिसे बहुत अच्छा reheats किया गया है)।",1,['food'],['positive']
11350539#680470#8,"जैसा कि मैंने कहा, Nick और Joe's सबके favorite नहीं हो सकते हैं, लेकिन यह मेरे हैं।",0,[],[]
35393632#1591698#6,Help बहुत ही अच्छा था और हमें rush नहीं कराया।,0,[],[]
35714274#1076679#4,तब उन्होने किसी तरह चारों ओर raw और cold में dry और brunt crust बनाया।,1,['crust'],['negative']
11351664#1238806#4,"यह बस अच्छा food है, कुछ ज्यादा नहीं और वही हमें चाहिए।",1,['food'],['positive']
33068517#482841#0,मेरी wife और मैं हाल ही में bistro में dinner के लिए visit किया और एक शानदार experience हुआ।,1,['dinner'],['neutral']
11351400#495795#1,SERVICE भी बहुत PERFECT है इस ITALIAN/FRENCH RESTAURANT में कुछ गलत नहीं है।,1,['SERVICE'],['positive']
11313431#524365#0,मेरे fiance और मैं हाल में city देखना चाहते थे और और एक dinner cruise भी decide किए थे।,0,[],[]
11546184#1465600#1,$72 Delmonico steak वापस भेजना था क्योंकि यह order के लिए नहीं पकाया गया था।,1,['Delmonico steak'],['negative']
11482070#503858#1,"हर बार मैं वहाँ गया, मैं खाने के लिए कुछ नहीं उठा सकता था क्योंकि menu बहुत से great things से भरा हुआ है।",1,['menu'],['negative']
11349922#547169#3,Rice के mountain के साथ half chicken और $6.25 में beans.,3,"['Rice', 'beans', 'chicken']","['neutral', 'neutral', 'neutral']"
32894483#1088884#0,"Service वाकई fast और friendly, और value शानदार है।",2,"['Service', 'value']","['positive', 'positive']"
32944674#542988#0,हम food और value से बहुत impressed थे।,2,"['food', 'value']","['positive', 'positive']"
32944674#542988#2,आपको garlic soup अवश्य try करना चाहिए।,1,['garlic soup'],['positive']
32896492#738746#0,"Casablanca servces स्वादिष्ट falafel, tabouleh, humus और अन्य Mediterranean delights, जो सभी बहुत inexpensive है।",4,"['falafel', 'tabouleh', 'humus', 'Mediterranean delights']","['positive', 'positive', 'positive', 'positive']"
11313290#1139539#0,"Bardolino के कुछ bad evenings के बाद, मैं वापस आता रहा।",0,[],[]
33069847#1306433#1,"Pizza's fresh, crispy, और serve के लिए तैयार बनाए गए हैं।",1,['Pizza's'],['positive']
32893609#708406#3,"Midtown area में बहुत से french bistros हैं, और मैं इसे wholheartedly recommend करता हूँ।",0,[],[]
35709451#1061726#1,Staff accomodating है तय करें कि आप satisfied हैं।,1,['Staff'],['positive']
11359727#487554#4,Chef Waldy's हमेशा measures up किए गए हैं।,1,['Chef'],['positive']
35709337#1579632#5,यह diamond ruff में 10 minute के लिए 6 train के walk के लिए बिलकुल worth है।,0,[],[]
35708055#673129#4,Host और Hostess बहुत rude थे।,2,"['Host', 'Hostess']","['negative', 'negative']"
35708055#673129#7,आप कुछ भी miss नहीं कर रहे होंगे।,0,[],[]
32878835#503761#0,मैंने Applebees को खोजा जब मैं VA के collage में चला गया।,0,[],[]
11351453#683961#0,"Wait staff बहुत friendly हैं, यदि आप rude या picky नहीं हैं.......Leon में last weekend पर हमारा meal शानदार था।",2,"['Wait staff', 'meal']","['positive', 'positive']"
11351453#683961#1,मैंने उनके किसी भी salmon dishes को recommend किया।,1,['salmon dishes'],['positive']
11351451#805713#1,Foie gras मीठा और चिपचिपा था।,1,['Foie gras'],['positive']
11351324#0#2,"Menu, जो seasonally बदलता है,  regional और international दोनों प्रभाव दिखाता है।",1,['Menu'],['neutral']
15069510#648179#3,"Food average है: breakfast food, soups, salads, sandwiches, आदि।",5,"['Food', 'breakfast food', 'soups', 'salads', 'sandwiches']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
11519527#1541586#1,मैं FOOD से बहुत ही अधिक DISAPPOINTED था।,1,['FOOD'],['negative']
35759841#1360876#1,"Staff arrogant है, Brooklyn के लिए prices बहुत ही ज्यादा high है।",2,"['Staff', 'prices']","['negative', 'negative']"
35759841#1360876#0,Place average...सबसे अच्छा है।,0,[],[]
11639667#1085238#2,Service तुरंत friendly है।,1,['Service'],['positive']
11639667#1085238#6,"जो भी reason हो, definitely यह place होने को है।",0,[],[]
32464595#574909#0,जब food की बात होती है तो यह literally एक hot spot है।,1,['food'],['positive']
32892297#645108#0,Downstairs bar scene बहुत ठंडा और मज़ेदार है।,1,['Downstairs bar scene'],['positive']
35390182#756337#7,"Family की तरह feel करता हूँ, जब मैं वहाँ जाता हूँ।",0,[],[]
13383936#420974#1,"मुझे food बस इसके owner, Da Silvano जितना अच्छा, कम expensive लगा।",2,"['food', 'owner']","['positive', 'positive']"
11484031#1129679#3,उनके पास सभी तरह के homemade pastas हैं -- मैं gnocchi को recommend करता हूँ -- yum!,2,"['homemade pastas', 'gnocchi']","['positive', 'positive']"
14336883#1094817#3,"मेरा vegetable risotto जल गया था, और पूरी तरह brunt flavor में infused हो गया।",2,"['vegetable risotto', 'flavor']","['negative', 'negative']"
